"家政学专业培养具备系统家政学基本理论和相关专业知识，掌握家政管理、营养调配、社区服务、家庭教育等专业技能，能够在城乡社区、家庭服务业、企事业单位、医院、军队、学校、政府机关等部门从事与提高全民生活质量相关工作的高素质家政学专门人才。家政学是以人类家庭生活为主要研究对象，以提高家庭生活质量、强化家庭成员素质、造福全人类为目的，指导人们家庭生活社会生活，感情伦理生活的一门综合型应用学科。家政学专业以全新的教育理念，致力于培养具备系统家政学基本理论和相关专业知识，掌握家政管理、家庭教育、营养饮食、社区服务、服装织物、家庭理财、生涯指导、老人护养、婚姻指导、消费策划等专业技能，能够在公司、企事业单位、社区等部门从事产业管理和培训人员以及中小学家政课教师和相关行业的研究、推广人员，使学生具有宽厚扎实的知识，同时具有市场调查、家庭生活指导、产业经营等实际操作技能的高素质家政学专门人才。","社会学类","法学","41","家政学",\N,\N,\N,\N,"030305T",\N
"民族学专业培养具备系统的民族学基本知识，有进一步培养潜能的民族学专门人才，以及能在国家机关、文教事业、新闻出版、社会团体和各类企事业部门从事实际工作的应用型、复合型高级专门人才。民族学专业是研究民族的发生、发展和变化的专业。主要通过实地调查、分析文献资料和比较研究，弄清各民族的社会经济结构、政治制度、社会生活、家庭婚姻、风俗习惯、宗教信仰、语言文字、文学艺术、道德规范、思想意识等。该专业学生主要学习民族学的基本理论，了解中国民族和族群、中国社会与文化的基本情况；掌握民族学研究的基本方法；受到体质人类学、语言学及考古学等方面的基本训练。","民族学类","法学","42","民族学",\N,\N,\N,\N,"30401",\N
"科学社会主义专业在1990年以前分为科学社会主义专业和国际共产主义运动专业两个学位点，如今总称为科学社会主义专业，它把马克思主义经典作家原著的研究同当今实际结合起来，以马克思主义基本理论为指导，研究当今社会主义运动出现的新情况和新问题。本专业学生主要学习马列主义、毛泽东思想、邓小平理论和国际共产主义运动的基本理论和基本知识，受到理论写作和外语等方面的基本训练，具有在马克思主义指导下观察问题和分析问题的基本能力。","马克思主义理论类","法学","43","科学社会主义",\N,\N,\N,\N,"30501",\N
"中国共产党历史专业经过了六十年的发展，已经成为在全国同类学科中处于领先地位、并在国内外学界享有良好声誉和一定影响力的优势和特色学科。毕业生具备能力有：掌握马克思主义的基本原理，全面理解中国共产党领导下的中国人民进行新民主主义革命、社会主义革命和建设的历程和经验；了解毛泽东思想的形成和发展及其基本内容； 2.掌握科学的分析方法； 3.了解党的建设理论和党的纲领、路线、方针、政策；能运用马克思主义的立场、观点和方法理论联系实际地分析和研究党的建设中的有关问题；能理论联系实际地运用马克思主义的立场、观点和方法研究中国革命的经验教训； 4.掌握文献检索、资料查询的基本方法，具有一定的科学研究和实际工作能力。","马克思主义理论类","法学","44","中国共产党历史",\N,\N,\N,\N,"30502",\N
"思想政治教育专业培养具备马克思主义基本理论和思想政治教育专业知识，能在党政机关、学校、企事业单位从事思想政治工作的专门人才。思想政治教育是指社会和社会群体用一定的思想观念、政治观点和道德规范，对社会成员进行有目的、有组织和有计划的影响，使他们形成一定社会所要求的思想品德的社会实践活动 。思想政治教育专业主要培养从事思想政治教育及管理的相关人员","马克思主义理论类","法学","45","思想政治教育",\N,\N,\N,\N,"30503",\N
"马克思主义理论与思想政治教育专业是1996年教育部修订研究生专业目录后出现的一个新的专业名称。在此之前，本科生专业目录中有思想政治教育专业，研究生专业目录中也有思想政治教育专业，两者是一致的；1996年以后，本科生专业目录中仍然保留着“思想政治教育专业”，而研究生专业目录中的思想政治教育专业被改为马克思主义理论与思想政治教育专业，两者出现了不一致。由此也就带来了一个问题：本科专业中的思想政治教育和研究生专业中的马克思主义理论与思想政治教育两者之间到底是什么关系？","马克思主义理论类","法学","46","马克思主义理论",\N,\N,\N,\N,"030504T",\N
"治安学专业培养德、智、体全面发展，具有坚定正确的政治方向、严格的组织纪律观念、良好的职业道德，愿为维护国家安全、社会安定而献身的精神，熟悉我国公安工作的路线、方针、政策和治安管理法律、法规，系统掌握法学和治安学的基础理论、基本知识和基本技能，掌握治安管理方法和安全防范技术，具有了解社会治安现状，观察社会治安发展趋势，管理城乡社会治安秩序，查处治安案件，处理治安事件与治安灾害事故，管理道路交通，实施消防监督，以及处理各种治安问题的知识和初步能力，能在公安、国家安全、边防、消防、军队、行政执法机关以及安全保卫等部门，从事治安管理、出入境管理、道路交通管理、预防和控制犯罪、安全保卫等实际工作，以及从事治安学教学、科研等方面工作的高级复合型、应用型人才。","公安学类","法学","47","治安学",\N,\N,\N,\N,"030601K",\N
"侦查学专业培养具有坚定正确的政治方向、严格的组织纪律观念、良好的职业道德，有为维护国家安全、社会安定而献身的精神，熟悉我国公安工作的路线、方针、政策和相关法律、法规，系统掌握侦查学专业的基本理论、基本知识和基本技能，能在公安、检察、国家安全等部门从事侦查工作、刑事执法工作、预防和控制犯罪以及侦查学教学、科研等方面工作的高级专门人才。侦查学是法学门类下公安学的重要分支，它以侦查活动及其规律、侦查制度和侦查理论、犯罪活动的规律及特点为研究对象的科学；是集科学性、实践性为一体的综合性应用科学。","公安学类","法学","48","侦查学",\N,\N,\N,\N,"030602K",\N
"边防管理专业培养具备国（边）境管理、部队管理和出入境边防检查等方面的知识和能力，能在公安边防部队和出入境管理部门从事国(边)境管理和出入境边防检查等方面工作的高级专门人才。边防管理专业是一个兼招文科和理工科考生的专业。开设此专业的院校较少，招生人数较少，其中女生人数更少；学生在选择此专业时要注意院校的性质，地方院校对考生限制较少，部队院校则相对要求严格。","公安学类","法学","49","边防管理",\N,\N,\N,\N,"030603K",\N
"禁毒学专业以学院侦查学、法学等优势专业为依托，构建了以缉毒侦查为主导，以毒品检验和戒毒预防为基础的具有公安禁毒特色的教育教学体系。该专业培养系统掌握禁毒学的基础理论、基本知识和基本技能，具有从事缉毒侦查及其他禁毒工作能力的应用型专门人才。","公安学类","法学","50","禁毒学",\N,\N,\N,\N,"030604TK",\N
